OrgName,Mean_RTT_Access,Median_RTT_Access,Mean_RTT_Treatment,Median_RTT_Treatment
42ND STREET,184.8,184.8,236.23333333333335,244.4
WE ARE SURVIVORS (SALFORD),185.1,185.1,231.06,355.1
SIGN HEALTH (HQ),76.6,76.6,161.32,212.2
LGBT FOUNDATION,143.89999999999998,143.89999999999998,140.55,140.55
HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,57.45,57.45,121.66,72.1
NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD,57.4,57.4,120.7,71.8
NHS EAST CHESHIRE TALKING THERAPIES,61.7,61.7,113.62,118.9
KINGSTON TALKING THERAPIES,50.25,50.25,105.43333333333334,100.25
VITA HEALTH GROUP: NEWCASTLE IAPT,29.15,29.15,102.42,116.3
EVERYTURN SERVICES LTD TALKING THERAPIES (PETERBOROUGH),48.05,48.05,96.94000000000001,123.9
NAVIGO HEALTH AND SOCIAL CARE CIC,58.400000000000006,58.400000000000006,95.96000000000001,86.6
MIND IN BARNET (NORTH FINCHLEY),67.2,67.2,94.43333333333334,82.4
LIVEWELL SOUTHWEST,45.85,45.85,94.19999999999999,84.15
"VITA HEALTH GROUP: VITAMINDS BRISTOL, NORTH SOMERSET & SOUTH GLOUCESTERSHIRE",26.25,26.25,90.44,127.7
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",26.299999999999997,26.299999999999997,90.38,127.2
MIND IN MID HERTS - HATFIELD ROAD,169.0,169.0,89.76666666666667,8.8
WARRINGTON PSYCHOLOGICAL SERVICE,66.95,66.95,88.64000000000001,92.4
MERTON IAPT,46.8,46.8,88.24000000000001,113.9
ALLIANCE PSYCHOLOGY SERVICES LTD,33.7,33.7,86.5,132.4
AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,55.0,55.0,84.66,116.1
"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",54.900000000000006,54.900000000000006,84.58,116.1
BOOTHAM PARK HOSPITAL - ADMIN,31.549999999999997,31.549999999999997,82.22,89.1
MIND IN BEXLEY (HQ),64.05,64.05,80.48333333333333,88.55000000000001
WALLSEND HEALTH CENTRE,43.050000000000004,43.050000000000004,80.35000000000001,66.9
"NHS HEYWOOD, MIDDLETON AND ROCHDALE TALKING THERAPIES",72.9,72.9,79.92,80.3
SUTTON IAPT,47.25,47.25,78.34,101.5
VITA HEALTH GROUP: VITAMINDS WEST ESSEX,45.45,45.45,78.02000000000001,111.1
FAMILY REFUGEE SUPPORT PROJECT,104.2,104.2,76.36666666666666,34.4
HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,39.1,39.1,75.71666666666665,73.25
SOUTHWARK PSYCHOLOGICAL THERAPIES SERVICES (SOUTHWARK IAPT),34.75,34.75,74.38,97.6
SOMERSET NHS FOUNDATION TRUST,40.4,40.4,74.01666666666667,63.45
NHS SOMERSET INTEGRATED CARE BOARD,40.65,40.65,74.0,63.7
WHITTINGTON HEALTH NHS TRUST,52.65,52.65,73.58000000000001,101.2
TALKING MATTERS SEFTON,51.55,51.55,72.88,89.3
PENNINE CARE NHS FOUNDATION TRUST,53.25,53.25,72.34,93.6
HERTS MIND NETWORK (HEMEL HEMPSTEAD),77.8,77.8,69.5,69.5
NHS NORTHUMBERLAND TALKING THERAPIES,57.7,57.7,69.5,66.95
KENDRAY HOSPITAL,28.65,28.65,69.46666666666665,80.3
NHS ENFIELD TALKING THERAPIES,33.85,33.85,68.38,91.2
EVERYTURN SERVICES LTD - DERBYSHIRE,60.8,60.8,68.22,57.8
GADDUM CENTRE,49.800000000000004,49.800000000000004,67.125,55.95
GRANGE PARK CLINIC MONKMOUTH HOSPITAL SUNDERLAND LOCALITY,38.900000000000006,38.900000000000006,66.96000000000001,39.8
1829 BUILDING,37.2,37.2,66.0,55.3
LEEDS COMMUNITY HEALTHCARE NHS TRUST,36.85,36.85,65.2,89.9
SOUTH WEST COMMISSIONING REGION,37.7,37.7,64.89999999999999,74.25
CAMDEN IAPT,40.25,40.25,64.31666666666666,43.2
NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,42.1,42.1,64.18333333333334,71.25
CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,42.1,42.1,64.14999999999999,71.19999999999999
NHS BARNET TALKING THERAPIES,30.5,30.5,61.58,52.9
NHS KENT AND MEDWAY TALKING THERAPIES: VITA HEALTH GROUP AND WE ARE WITH YOU,57.25,57.25,61.36,64.6
"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD",28.450000000000003,28.450000000000003,61.32000000000001,82.8
VITAMINDS: LLR,28.35,28.35,61.2,82.4
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,34.65,34.65,61.06666666666667,63.25
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,38.55,38.55,60.133333333333326,57.25
WANDSWORTH IAPT,37.1,37.1,59.93333333333334,78.55
"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",39.1,39.1,59.85,64.4
ISLE OF WIGHT NHS TRUST,16.15,16.15,59.74000000000001,66.9
NHS WIRRAL TALKING THERAPIES,34.0,34.0,59.620000000000005,66.6
NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,35.9,35.9,59.56,44.6
VITA HEALTH GROUP: VITAMINDS DERBY,65.35,65.35,59.160000000000004,71.4
NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,35.849999999999994,35.849999999999994,58.9,45.1
NHS KENT AND MEDWAY INTEGRATED CARE BOARD,57.150000000000006,57.150000000000006,58.06,64.8
ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,36.949999999999996,36.949999999999996,57.9,45.4
NHS DEVON INTEGRATED CARE BOARD,32.400000000000006,32.400000000000006,57.03333333333333,64.8
GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST,52.150000000000006,52.150000000000006,56.550000000000004,55.2
BROMLEY HEALTHCARE,41.3,41.3,56.17999999999999,72.8
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,36.65,36.65,56.06666666666666,55.1
NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,44.3,44.3,55.63333333333333,55.650000000000006
NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,33.25,33.25,54.98333333333333,66.5
DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,35.05,35.05,54.94,67.4
"TAMESIDE, OLDHAM AND GLOSSOP MIND",32.9,32.9,54.9,54.9
MERSEY CARE NHS FOUNDATION TRUST,36.1,36.1,54.46666666666666,37.35
