Time,y_items_Antidepressants,y_items_Anxiolytics
2021-4,6862319,483137
2021-5,6563559,459171
2021-6,6982730,487805
2021-7,6981825,491575
2021-8,6681705,469539
2021-9,7011301,487173
2021-10,6728197,464492
2021-11,7007233,479443
2021-12,7325890,497675
2022-1,6969149,466152
2022-2,6531533,443277
2022-3,7395132,498900
2022-4,6904893,461734
2022-5,7207724,479726
2022-6,7023329,466127
2022-7,6980677,458032
2022-8,7196808,476865
2022-9,7161643,470809
2022-10,7092445,465434
2022-11,7274885,477293
2022-12,7256307,472907
2023-1,7308472,471510
2023-2,6734088,431126
2023-3,7702876,489962
2023-4,6896436,434455
2023-5,7366399,464700
2023-6,7483362,469139
2023-7,7300496,454177
2023-8,7468015,468913
2023-9,7319883,450195
2023-10,7450134,454006
2023-11,7531613,452225
2023-12,7460547,445534
2024-1,7740205,457072
2024-2,7266201,427946
2024-3,7392496,430728
2024-4,7635602,440956
2024-5,7824035,452450
2024-6,7282712,418294
2024-7,7940785,453431
2024-8,7630246,437381
2024-9,7496152,423445
2024-10,7971111,450042
2024-11,7627756,422063
2024-12,7822603,433873
2025-1,8062819,438728
2025-2,7200659,391758
2025-3,7667917,413034
2025-4,7679188,413449
2025-5,7937221,424496
2025-6,7703062,410358
2025-7,8219648,435900
2025-8,7557893,401295
2025-9,7977410,419416
2025-10,8225984,430038
2025-11,7588253,389627
2025-12,8361857,432446
2026-1,8109511,411110
2026-2,7467167,378365
2026-3,8182572,409504
