Drug_Category,CCG_Region,Total_Items,Total_Cost,Average_Items
Antidepressants,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT",13408567,40762672.67,223476.11666666667
Antidepressants,NHS KENT AND MEDWAY,13325409,34790117.81,222090.15
Antidepressants,NHS NORFOLK AND WAVENEY,11126487,25993125.01,185441.45
Antidepressants,NHS DEVON,10406513,26084466.96,173441.88333333333
Antidepressants,NHS NORTH EAST LONDON,9846414,22324161.53,164106.9
Antidepressants,NHS NORTH WEST LONDON,9511558,23141210.46,158525.96666666667
Antidepressants,NHS DERBY AND DERBYSHIRE,8848202,20592915.96,147470.03333333333
Antidepressants,NHS BLACK COUNTRY,8738187,21553938.05,145636.45
Antidepressants,NHS LINCOLNSHIRE,8593067,19441986.64,143217.78333333333
Antidepressants,NHS NOTTINGHAM AND NOTTINGHAMSHIRE,8587618,20052921.48,143126.96666666667
Antidepressants,NHS TEES VALLEY,8317415,17014707.4,138623.58333333334
Antidepressants,NHS BIRMINGHAM AND SOLIHULL,8270038,20799351.26,137833.96666666667
Antidepressants,NHS SOUTH EAST LONDON,8171074,21557324.74,136184.56666666668
Antidepressants,NHS CAMBRIDGESHIRE AND PETERBOROUGH,7743158,16890780.03,129052.63333333333
Antidepressants,NHS COUNTY DURHAM,7631219,14151205.36,127186.98333333334
Antidepressants,NHS SOUTH WEST LONDON,7522634,18900224.37,125377.23333333334
Antidepressants,NHS NORTH CENTRAL LONDON,7415591,19605704.06,123593.18333333333
Antidepressants,NHS COVENTRY AND WARWICKSHIRE,7397042,18436078.26,123284.03333333334
Antidepressants,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",7326238,16929572.46,122103.96666666666
Antidepressants,NHS NORTHAMPTONSHIRE,6699643,13946448.6,111660.71666666666
Antidepressants,NHS CHESHIRE,6648276,14293859.87,110804.6
Antidepressants,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",6532259,16635177.55,108870.98333333334
Antidepressants,NHS LEEDS,6219370,14740237.34,103656.16666666667
Antidepressants,NHS DORSET,6205721,16643660.16,103428.68333333333
Antidepressants,NHS NEWCASTLE GATESHEAD,6176594,11289925.47,102943.23333333334
Antidepressants,NHS WEST SUSSEX,6117830,18310237.2,101963.83333333333
Antidepressants,NHS HEREFORDSHIRE AND WORCESTERSHIRE,6112970,15305880.43,101882.83333333333
Antidepressants,NHS SURREY HEARTLANDS,6106127,20627228.81,101768.78333333334
Antidepressants,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",5855844,14038086.24,97597.4
Antidepressants,NHS SHEFFIELD,5608953,10788220.58,93482.55
Antidepressants,NHS GLOUCESTERSHIRE,5602183,13219011.39,93369.71666666666
Antidepressants,NHS CORNWALL AND THE ISLES OF SCILLY,5548208,13645224.91,92470.13333333333
Antidepressants,NHS MANCHESTER,5371232,11735102.13,89520.53333333334
Antidepressants,NHS LIVERPOOL,5285659,12350458.48,88094.31666666667
Antidepressants,NHS BRADFORD DISTRICT AND CRAVEN,4843584,10725337.16,80726.4
Antidepressants,NHS OXFORDSHIRE,4780433,13220350.65,79673.88333333333
Antidepressants,NHS EAST SUSSEX,4491818,12944815.39,74863.63333333333
Antidepressants,NHS NORTH YORKSHIRE,4472942,9875856.63,74549.03333333334
Antidepressants,NHS SOMERSET,4297097,10738862.01,71618.28333333334
Antidepressants,NHS SUNDERLAND,4279083,6982292.89,71318.05
Antidepressants,NHS EAST AND NORTH HERTFORDSHIRE,4222296,10744685.68,70371.6
Antidepressants,NHS IPSWICH AND EAST SUFFOLK,3834771,9346476.98,63912.85
Antidepressants,NHS NORTHUMBERLAND,3812278,7621863.91,63537.96666666667
Antidepressants,NHS NORTH EAST ESSEX,3735118,8593303.78,62251.96666666667
Antidepressants,"NHS SHROPSHIRE, TELFORD AND WREKIN",3685479,9933000.9,61424.65
Antidepressants,NHS KIRKLEES,3597149,8485993.8,59952.48333333333
Antidepressants,NHS WAKEFIELD,3531448,8432445.79,58857.46666666667
Antidepressants,NHS WIRRAL,3472454,7970581.92,57874.23333333333
Antidepressants,NHS MID ESSEX,3463160,7574171.88,57719.333333333336
Antidepressants,NHS HERTS VALLEYS,3391869,8735740.99,56531.15
Antidepressants,NHS WEST LEICESTERSHIRE,3353287,8059872.0,55888.11666666667
Antidepressants,NHS BARNSLEY,3295816,5618326.45,54930.26666666667
Antidepressants,NHS EAST LANCASHIRE,3294018,6648946.13,54900.3
Antidepressants,NHS DONCASTER,3205635,6210090.85,53427.25
Antidepressants,NHS WIGAN BOROUGH,3196331,7836199.22,53272.183333333334
Antidepressants,NHS NORTH CUMBRIA,3138302,6456837.7,52305.03333333333
Antidepressants,NHS BERKSHIRE WEST,3063557,9757250.21,51059.28333333333
Antidepressants,NHS MORECAMBE BAY,2999707,6925729.61,49995.11666666667
Antidepressants,NHS HULL,2947783,5221869.72,49129.71666666667
Antidepressants,NHS SALFORD,2916864,5560638.95,48614.4
Antidepressants,NHS STOCKPORT,2835412,6422647.02,47256.86666666667
Antidepressants,NHS EAST RIDING OF YORKSHIRE,2816969,6070950.23,46949.48333333333
Antidepressants,NHS BUCKINGHAMSHIRE,2798880,8539509.52,46648.0
Antidepressants,NHS WEST SUFFOLK,2782741,6096450.84,46379.01666666667
