date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2021-04-01,09W,"NHS MEDWAY",0,0,0,0
2021-04-01,D4U1Y,"NHS FRIMLEY",4927,19060.68,0,0
2021-04-01,02G,"NHS WEST LANCASHIRE",13688,44287.14,0,0
2021-04-01,05D,"NHS EAST STAFFORDSHIRE",15906,50923.83,0,0
2021-04-01,04Y,"NHS CANNOCK CHASE",17061,57081.7,0,0
2021-04-01,01V,"NHS SOUTHPORT AND FORMBY",17479,62547.18,0,0
2021-04-01,05V,"NHS STAFFORD AND SURROUNDS",17558,57725.2,0,0
2021-04-01,07G,"NHS THURROCK",18299,56994.26,0,0
2021-04-01,02Q,"NHS BASSETLAW",19338,53750.14,0,0
2021-04-01,99F,"NHS CASTLE POINT AND ROCHFORD",19757,74013.63,0,0
2021-04-01,01F,"NHS HALTON",20532,69717.76,0,0
2021-04-01,99G,"NHS SOUTHEND",20659,77474.33,0,0
2021-04-01,00Q,"NHS BLACKBURN WITH DARWEN",21382,63834.41,0,0
2021-04-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",23777,86038.03,0,0
2021-04-01,01T,"NHS SOUTH SEFTON",24827,83012.14,0,0
2021-04-01,03H,"NHS NORTH EAST LINCOLNSHIRE",25368,65495.84,0,0
2021-04-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA",25476,84501.28,0,0
2021-04-01,00V,"NHS BURY",25637,101595.82,0,0
2021-04-01,02E,"NHS WARRINGTON",26439,99740.24,0,0
2021-04-01,01E,"NHS GREATER PRESTON",27010,79306.89,0,0
2021-04-01,03K,"NHS NORTH LINCOLNSHIRE",27260,77996.11,0,0
2021-04-01,10R,"NHS PORTSMOUTH",27409,107243.87,0,0
2021-04-01,03Q,"NHS VALE OF YORK",27453,86523.32,0,0
2021-04-01,01J,"NHS KNOWSLEY",28245,88763.91,0,0
2021-04-01,99E,"NHS BASILDON AND BRENTWOOD",28665,114825.76,0,0
2021-04-01,02M,"NHS FYLDE AND WYRE",28840,85603.5,0,0
2021-04-01,U2G6B,"NHS THAMES VALLEY ICB - U2G6B",29318,118748.19,0,0
2021-04-01,05G,"NHS NORTH STAFFORDSHIRE",29653,97994.63,0,0
2021-04-01,00N,"NHS SOUTH TYNESIDE",29935,78984.74,0,0
2021-04-01,02T,"NHS CALDERDALE",30037,90928.1,0,0
2021-04-01,02A,"NHS TRAFFORD",30436,97052.96,0,0
2021-04-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",31387,101735.07,0,0
2021-04-01,00Y,"NHS OLDHAM",31977,103268.44,0,0
2021-04-01,00R,"NHS BLACKPOOL",32958,94885.15,0,0
2021-04-01,01Y,"NHS TAMESIDE AND GLOSSOP",33094,105142.53,0,0
2021-04-01,07H,"NHS WEST ESSEX",34213,110448.86,0,0
2021-04-01,01X,"NHS ST HELENS",34711,113149.82,0,0
2021-04-01,09D,"NHS BRIGHTON AND HOVE",36511,130714.14,0,0
2021-04-01,04C,"NHS LEICESTER CITY",37251,120524.98,0,0
2021-04-01,03W,"NHS EAST LEICESTERSHIRE AND RUTLAND",37364,136169.56,0,0
2021-04-01,00T,"NHS BOLTON",39537,133631.85,0,0
2021-04-01,99C,"NHS NORTH TYNESIDE",39990,108773.52,0,0
2021-04-01,05W,"NHS STOKE ON TRENT",40582,125350.54,0,0
2021-04-01,03L,"NHS ROTHERHAM",40905,124667.15,0,0
2021-04-01,02Y,"NHS EAST RIDING OF YORKSHIRE",42468,129182.09,0,0
2021-04-01,07K,"NHS WEST SUFFOLK",43032,131167.23,0,0
2021-04-01,14Y,"NHS BUCKINGHAMSHIRE",44088,182066.61,0,0
2021-04-01,01W,"NHS STOCKPORT",44176,142470.04,0,0
2021-04-01,03F,"NHS HULL",46154,116612.63,0,0
2021-04-01,01G,"NHS SALFORD",46854,135929.88,0,0
2021-04-01,01K,"NHS MORECAMBE BAY",47391,155402.76,0,0
2021-04-01,15A,"NHS BERKSHIRE WEST",48246,211062.56,0,0
2021-04-01,02H,"NHS WIGAN BOROUGH",49389,177603.56,0,0
2021-04-01,01H,"NHS NORTH CUMBRIA",49439,150114,0,0
2021-04-01,02X,"NHS DONCASTER",49728,143904.5,0,0
2021-04-01,04V,"NHS WEST LEICESTERSHIRE",50152,166072.72,0,0
2021-04-01,01A,"NHS EAST LANCASHIRE",50775,154111.1,0,0
2021-04-01,02P,"NHS BARNSLEY",51273,136376.83,0,0
2021-04-01,06N,"NHS HERTS VALLEYS",52191,182692.08,0,0
2021-04-01,03R,"NHS WAKEFIELD",52595,176043.43,0,0
2021-04-01,06Q,"NHS MID ESSEX",52820,159144.62,0,0
2021-04-01,X2C4Y,"NHS KIRKLEES",53463,182149.48,0,0
2021-04-01,12F,"NHS WIRRAL",54004,179309.35,0,0
2021-04-01,00L,"NHS NORTHUMBERLAND",57129,169071.32,0,0
2021-04-01,M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN",57325,214523.27,0,0
2021-04-01,06T,"NHS NORTH EAST ESSEX",57664,187432.28,0,0
2021-04-01,06L,"NHS IPSWICH AND EAST SUFFOLK",59458,191478.57,0,0
2021-04-01,00P,"NHS SUNDERLAND",65076,148101.72,0,0
2021-04-01,06K,"NHS EAST AND NORTH HERTFORDSHIRE",66864,233160.42,0,0
2021-04-01,42D,"NHS NORTH YORKSHIRE",69404,216802.35,0,0
2021-04-01,11X,"NHS SOMERSET",69593,232490.47,0,0
2021-04-01,97R,"NHS EAST SUSSEX",70177,267217.43,0,0
2021-04-01,10Q,"NHS OXFORDSHIRE",73712,274558.56,0,0
2021-04-01,36J,"NHS BRADFORD DISTRICT AND CRAVEN",73809,243603.73,0,0
2021-04-01,99A,"NHS LIVERPOOL",82326,279898.7,0,0
2021-04-01,14L,"NHS MANCHESTER",83958,265013.14,0,0
2021-04-01,03N,"NHS SHEFFIELD",84324,249344.29,0,0
2021-04-01,11M,"NHS GLOUCESTERSHIRE",86497,270392.79,0,0
2021-04-01,11N,"NHS CORNWALL AND THE ISLES OF SCILLY",89009,287054,0,0
2021-04-01,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",89640,291830.98,0,0
2021-04-01,92A,"NHS SURREY HEARTLANDS",93644,417846.41,0,0
2021-04-01,70F,"NHS WEST SUSSEX",93798,399397.3,0,0
2021-04-01,13T,"NHS NEWCASTLE GATESHEAD",96694,252177.43,0,0
2021-04-01,15F,"NHS LEEDS",96817,320887.24,0,0
2021-04-01,18C,"NHS HEREFORDSHIRE AND WORCESTERSHIRE",96953,336769.53,0,0
2021-04-01,11J,"NHS DORSET",97499,363794.74,0,0
2021-04-01,27D,"NHS CHESHIRE",102252,321076.21,0,0
2021-04-01,93C,"NHS NORTH CENTRAL LONDON",105859,391996.51,0,0
2021-04-01,78H,"NHS NORTHAMPTONSHIRE",106420,309814.3,0,0
2021-04-01,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",109463,389813.43,0,0
2021-04-01,B2M3M,"NHS COVENTRY AND WARWICKSHIRE",111999,380393.03,0,0
2021-04-01,36L,"NHS SOUTH WEST LONDON",113304,395185.39,0,0
2021-04-01,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",114820,384514.27,0,0
2021-04-01,84H,"NHS COUNTY DURHAM",115425,309354.29,0,0
2021-04-01,06H,"NHS CAMBRIDGESHIRE AND PETERBOROUGH",122144,369217.01,0,0
2021-04-01,72Q,"NHS SOUTH EAST LONDON",122420,456173.25,0,0
2021-04-01,15E,"NHS BIRMINGHAM AND SOLIHULL",122548,440662.74,0,0
2021-04-01,16C,"NHS TEES VALLEY",127341,378775.68,0,0
2021-04-01,D2P2L,"NHS BLACK COUNTRY",131425,465274.43,0,0
2021-04-01,52R,"NHS NOTTINGHAM AND NOTTINGHAMSHIRE",133559,449931.67,0,0
2021-04-01,71E,"NHS LINCOLNSHIRE",133948,410625.59,0,0
2021-04-01,15M,"NHS DERBY AND DERBYSHIRE",137972,474766.42,0,0
2021-04-01,W2U3Z,"NHS NORTH WEST LONDON",138929,484085.29,0,0
2021-04-01,A3A8R,"NHS NORTH EAST LONDON",143889,463590.67,0,0
2021-04-01,15N,"NHS DEVON",166574,585363.93,0,0
