date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2021-04-01,09W,"NHS MEDWAY",0,0,0,0
2021-04-01,D4U1Y,"NHS FRIMLEY",438,1025.13,0,0
2021-04-01,07G,"NHS THURROCK",623,2130.7,0,0
2021-04-01,02Q,"NHS BASSETLAW",976,3722.77,0,0
2021-04-01,02G,"NHS WEST LANCASHIRE",1019,5455.9,0,0
2021-04-01,99F,"NHS CASTLE POINT AND ROCHFORD",1060,4619.61,0,0
2021-04-01,00V,"NHS BURY",1101,5351.37,0,0
2021-04-01,03H,"NHS NORTH EAST LINCOLNSHIRE",1133,6647.91,0,0
2021-04-01,05D,"NHS EAST STAFFORDSHIRE",1166,4937.05,0,0
2021-04-01,00N,"NHS SOUTH TYNESIDE",1168,5050.92,0,0
2021-04-01,01E,"NHS GREATER PRESTON",1275,7643.01,0,0
2021-04-01,00R,"NHS BLACKPOOL",1278,5030.85,0,0
2021-04-01,03Q,"NHS VALE OF YORK",1303,5285.69,0,0
2021-04-01,04Y,"NHS CANNOCK CHASE",1319,7178.62,0,0
2021-04-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",1351,9888.5,0,0
2021-04-01,03K,"NHS NORTH LINCOLNSHIRE",1357,7141.34,0,0
2021-04-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",1403,7150.61,0,0
2021-04-01,99G,"NHS SOUTHEND",1516,4216.81,0,0
2021-04-01,02T,"NHS CALDERDALE",1538,4673.94,0,0
2021-04-01,02M,"NHS FYLDE AND WYRE",1548,6729.25,0,0
2021-04-01,99E,"NHS BASILDON AND BRENTWOOD",1596,5045.95,0,0
2021-04-01,05V,"NHS STAFFORD AND SURROUNDS",1684,6027.17,0,0
2021-04-01,01V,"NHS SOUTHPORT AND FORMBY",1719,6292.8,0,0
2021-04-01,01G,"NHS SALFORD",1803,6998.32,0,0
2021-04-01,00T,"NHS BOLTON",1809,10254.45,0,0
2021-04-01,10R,"NHS PORTSMOUTH",1851,5866.09,0,0
2021-04-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA",1903,8519.19,0,0
2021-04-01,07H,"NHS WEST ESSEX",1939,5715.06,0,0
2021-04-01,00Y,"NHS OLDHAM",1949,8931.98,0,0
2021-04-01,02A,"NHS TRAFFORD",1968,9130.53,0,0
2021-04-01,99C,"NHS NORTH TYNESIDE",1970,7289.49,0,0
2021-04-01,01H,"NHS NORTH CUMBRIA",2063,6741.98,0,0
2021-04-01,03L,"NHS ROTHERHAM",2065,9793.08,0,0
2021-04-01,01F,"NHS HALTON",2095,12518.96,0,0
2021-04-01,02X,"NHS DONCASTER",2107,9594.28,0,0
2021-04-01,07K,"NHS WEST SUFFOLK",2109,6294,0,0
2021-04-01,02Y,"NHS EAST RIDING OF YORKSHIRE",2131,8534.56,0,0
2021-04-01,00Q,"NHS BLACKBURN WITH DARWEN",2179,7877.13,0,0
2021-04-01,01J,"NHS KNOWSLEY",2210,10450.82,0,0
2021-04-01,03F,"NHS HULL",2210,9025.71,0,0
2021-04-01,02E,"NHS WARRINGTON",2253,12239.75,0,0
2021-04-01,U2G6B,"NHS THAMES VALLEY ICB - U2G6B",2271,9756.81,0,0
2021-04-01,05G,"NHS NORTH STAFFORDSHIRE",2318,9180.26,0,0
2021-04-01,00P,"NHS SUNDERLAND",2351,6939.52,0,0
2021-04-01,01T,"NHS SOUTH SEFTON",2375,12176.18,0,0
2021-04-01,00L,"NHS NORTHUMBERLAND",2518,10093.24,0,0
