OrgType,OrgCode,OrgName,VariableType,VariableA,VariableB,Count_ReferralsReceived,Count_AccessingServices,Count_SecondTreatment,Count_FinishedCourseTreatment,Percentage_Variable_withFCT,Count_EndedReferrals,Count_EndedBeforeTreatment,Count_EndedAfterOneTreatment,Mean_ApptsFinishedCourseTreatment,Mean_WaitAccessingServices,Mean_WaitFinishedCourseTreatment,Count_AppropriatePairedADSM,Percentage_AppropriatePairedADSM,Count_AtCaseness,Count_NotAtCaseness,Count_Improvement,Percentage_Improvement,Count_NoReliableChange,Percentage_NoReliableChange,Count_Deterioration,Percentage_Deterioration,Count_Recovery,Percentage_Recovery,Count_ReliableRecovery,Percentage_ReliableRecovery,Count_BAFIndicatorCompletion,Percentage_BAFIndicatorCompletion,Count_FinishedTreatmentFirst6Months,Count_FinishedTreatmentFirst6MonthsFollowUp,Percentage_FollowUpAppointment,Mean_ContactDuration,Median_ContactDuration,Sum_ContactDuration,Count_ApptsFinishedCourseTreatment,Mean_TotalContactDurationPerReferral,Median_TotalContactDurationPerReferral,Count_FinishedCourseTreatmentContactDuration,Mean_TreatmentAppointmentsRecovery,Mean_TreatmentAppointmentsImprovement,Mean_TreatmentAppointmentsNoChange,Mean_TreatmentAppointmentsDeterioration,Mean_TreatmentAppointmentsReliableRecovery,Count_FinishedCourseTreatment_with_EmpSup,Percentage_Variable_withFCTandES
Provider,8EJ83,RENNIE GROVE PEACE HOSPICE CARE (PEACE HOSPICE - HQ),Total,NULL,NULL,1200,765,715,650,NULL,995,305,40,9.1,NULL,NULL,NULL,NULL,545,105,415,64,195,30,40,6,285,52,265,48,565,47,305,*,*,50.2,50,294790,5885,453.5,400,650,9.2,9.3,8.4,9.8,9.2,*,NULL
Provider,8EJ83,RENNIE GROVE PEACE HOSPICE CARE (PEACE HOSPICE - HQ),Age Group,Under 18,NULL,*,*,*,*,*,*,*,*,*,NULL,NULL,NULL,NULL,*,*,*,*,*,*,*,*,*,*,*,*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,*,*
Provider,8EJ83,RENNIE GROVE PEACE HOSPICE CARE (PEACE HOSPICE - HQ),Age Group,18 to 25,NULL,90,40,40,35,6,65,25,5,8.1,NULL,NULL,NULL,NULL,35,*,25,69,10,25,*,*,15,45,15,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,*,*
Provider,8EJ83,RENNIE GROVE PEACE HOSPICE CARE (PEACE HOSPICE - HQ),Age Group,26 to 64,NULL,935,610,570,510,79,775,230,30,9.2,NULL,NULL,NULL,NULL,435,75,325,64,155,30,30,5,225,52,210,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,*,*
Provider,8EJ83,RENNIE GROVE PEACE HOSPICE CARE (PEACE HOSPICE - HQ),Age Group,65 to 74,NULL,105,70,70,60,10,85,25,*,8.6,NULL,NULL,NULL,NULL,45,15,35,56,20,32,5,11,25,53,20,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,*,*
Provider,8EJ83,RENNIE GROVE PEACE HOSPICE CARE (PEACE HOSPICE - HQ),Age Group,75 to 89,NULL,60,40,40,40,6,60,20,*,9.4,NULL,NULL,NULL,NULL,30,10,25,68,10,24,*,*,20,62,20,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,*,*
Provider,8EJ83,RENNIE GROVE PEACE HOSPICE CARE (PEACE HOSPICE - HQ),Age Group,90 and over,NULL,*,*,*,*,*,*,*,*,*,NULL,NULL,NULL,NULL,*,*,*,*,*,*,*,*,*,*,*,*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,*,*
Provider,8EJ83,RENNIE GROVE PEACE HOSPICE CARE (PEACE HOSPICE - HQ),Age Group Gender,Under 18 / Female,NULL,*,*,*,*,*,*,*,*,*,NULL,NULL,NULL,NULL,*,*,*,*,*,*,*,*,*,*,*,*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,*,*
Provider,8EJ83,RENNIE GROVE PEACE HOSPICE CARE (PEACE HOSPICE - HQ),Age Group Gender,18 to 25 / Female,NULL,65,35,30,25,4,45,15,5,7.7,NULL,NULL,NULL,NULL,25,*,15,65,5,27,*,*,10,43,10,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,*,*
Provider,8EJ83,RENNIE GROVE PEACE HOSPICE CARE (PEACE HOSPICE - HQ),Age Group Gender,26 to 64 / Female,NULL,680,455,420,380,58,575,170,25,9.2,NULL,NULL,NULL,NULL,330,50,245,65,115,31,15,4,170,51,155,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,*,*
Provider,8EJ83,RENNIE GROVE PEACE HOSPICE CARE (PEACE HOSPICE - HQ),Age Group Gender,65 to 74 / Female,NULL,80,50,50,45,7,65,15,*,9.1,NULL,NULL,NULL,NULL,35,10,25,52,15,35,5,13,20,50,15,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,*,*
Provider,8EJ83,RENNIE GROVE PEACE HOSPICE CARE (PEACE HOSPICE - HQ),Age Group Gender,75 to 89 / Female,NULL,50,35,30,30,5,45,10,*,9.7,NULL,NULL,NULL,NULL,25,5,20,68,5,23,*,*,15,56,15,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,*,*
Provider,8EJ83,RENNIE GROVE PEACE HOSPICE CARE (PEACE HOSPICE - HQ),Age Group Gender,90 and over / Female,NULL,*,*,*,*,*,*,*,*,*,NULL,NULL,NULL,NULL,*,*,*,*,*,*,*,*,*,*,*,*,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,*,*
