KPI_CATEGORY,KPI_ID,KPI_NAME,VALUE,PERIOD_START,PERIOD_END,REGION
Beds,MHS24,Bed days in RP,3915,01/03/2026,31/03/2026,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L
Beds,MHS25,Bed days less leave in RP,3595,01/03/2026,31/03/2026,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L
Beds,MHS24,Bed days in RP,1980,01/03/2026,31/03/2026,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N
Beds,MHS25,Bed days less leave in RP,1895,01/03/2026,31/03/2026,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N
Beds,MHS24,Bed days in RP,2520,01/03/2026,31/03/2026,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P
Beds,MHS25,Bed days less leave in RP,2425,01/03/2026,31/03/2026,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P
Beds,MHS24,Bed days in RP,3220,01/03/2026,31/03/2026,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00Q
Beds,MHS25,Bed days less leave in RP,3220,01/03/2026,31/03/2026,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00Q
Beds,MHS24,Bed days in RP,2695,01/03/2026,31/03/2026,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00R
Beds,MHS25,Bed days less leave in RP,2695,01/03/2026,31/03/2026,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00R
Beds,MHS24,Bed days in RP,3530,01/03/2026,31/03/2026,NHS GREATER MANCHESTER ICB - 00T
Beds,MHS25,Bed days less leave in RP,3485,01/03/2026,31/03/2026,NHS GREATER MANCHESTER ICB - 00T
Beds,MHS24,Bed days in RP,5325,01/03/2026,31/03/2026,NHS GREATER MANCHESTER ICB - 00V
Beds,MHS25,Bed days less leave in RP,5185,01/03/2026,31/03/2026,NHS GREATER MANCHESTER ICB - 00V
Beds,MHS24,Bed days in RP,3460,01/03/2026,31/03/2026,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00X
Beds,MHS25,Bed days less leave in RP,3460,01/03/2026,31/03/2026,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 00X
Beds,MHS24,Bed days in RP,4295,01/03/2026,31/03/2026,NHS GREATER MANCHESTER ICB - 00Y
Beds,MHS25,Bed days less leave in RP,4280,01/03/2026,31/03/2026,NHS GREATER MANCHESTER ICB - 00Y
Beds,MHS24,Bed days in RP,8125,01/03/2026,31/03/2026,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01A
Beds,MHS25,Bed days less leave in RP,8035,01/03/2026,31/03/2026,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01A
Beds,MHS24,Bed days in RP,3200,01/03/2026,31/03/2026,NHS GREATER MANCHESTER ICB - 01D
Beds,MHS25,Bed days less leave in RP,3190,01/03/2026,31/03/2026,NHS GREATER MANCHESTER ICB - 01D
Beds,MHS24,Bed days in RP,6235,01/03/2026,31/03/2026,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01E
Beds,MHS25,Bed days less leave in RP,6185,01/03/2026,31/03/2026,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01E
Beds,MHS24,Bed days in RP,1350,01/03/2026,31/03/2026,NHS CHESHIRE AND MERSEYSIDE ICB - 01F
Beds,MHS25,Bed days less leave in RP,1350,01/03/2026,31/03/2026,NHS CHESHIRE AND MERSEYSIDE ICB - 01F
Beds,MHS24,Bed days in RP,4855,01/03/2026,31/03/2026,NHS GREATER MANCHESTER ICB - 01G
Beds,MHS25,Bed days less leave in RP,4790,01/03/2026,31/03/2026,NHS GREATER MANCHESTER ICB - 01G
Beds,MHS24,Bed days in RP,3095,01/03/2026,31/03/2026,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H
Beds,MHS25,Bed days less leave in RP,3000,01/03/2026,31/03/2026,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H
Beds,MHS24,Bed days in RP,1695,01/03/2026,31/03/2026,NHS CHESHIRE AND MERSEYSIDE ICB - 01J
Beds,MHS25,Bed days less leave in RP,1660,01/03/2026,31/03/2026,NHS CHESHIRE AND MERSEYSIDE ICB - 01J
Beds,MHS24,Bed days in RP,3155,01/03/2026,31/03/2026,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K
Beds,MHS25,Bed days less leave in RP,3110,01/03/2026,31/03/2026,NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K
Beds,MHS24,Bed days in RP,3715,01/03/2026,31/03/2026,NHS CHESHIRE AND MERSEYSIDE ICB - 01T
Beds,MHS25,Bed days less leave in RP,3665,01/03/2026,31/03/2026,NHS CHESHIRE AND MERSEYSIDE ICB - 01T
Beds,MHS24,Bed days in RP,1000,01/03/2026,31/03/2026,NHS CHESHIRE AND MERSEYSIDE ICB - 01V
