KPI_ID,KPI_NAME,VALUE,PERIOD_START,PERIOD_END,REGION
MHS125,People Entering RTT Pathway,34,01/01/2026,31/03/2026,UNKNOWN
MHS126,People Waiting,147,01/01/2026,31/03/2026,UNKNOWN
MHS131,People Treated,14,01/01/2026,31/03/2026,UNKNOWN
MHS132,RTT Performance Percentage,209,01/01/2026,31/03/2026,UNKNOWN
MHS125,People Entering RTT Pathway,35,01/01/2026,31/03/2026,LONDON COMMISSIONING REGION
MHS126,People Waiting,188,01/01/2026,31/03/2026,LONDON COMMISSIONING REGION
MHS131,People Treated,18,01/01/2026,31/03/2026,LONDON COMMISSIONING REGION
MHS132,RTT Performance Percentage,345,01/01/2026,31/03/2026,LONDON COMMISSIONING REGION
MHS125,People Entering RTT Pathway,42,01/01/2026,31/03/2026,SOUTH WEST COMMISSIONING REGION
MHS126,People Waiting,161,01/01/2026,31/03/2026,SOUTH WEST COMMISSIONING REGION
MHS131,People Treated,18,01/01/2026,31/03/2026,SOUTH WEST COMMISSIONING REGION
MHS132,RTT Performance Percentage,181,01/01/2026,31/03/2026,SOUTH WEST COMMISSIONING REGION
MHS125,People Entering RTT Pathway,44,01/01/2026,31/03/2026,SOUTH EAST COMMISSIONING REGION
MHS126,People Waiting,158,01/01/2026,31/03/2026,SOUTH EAST COMMISSIONING REGION
MHS131,People Treated,16,01/01/2026,31/03/2026,SOUTH EAST COMMISSIONING REGION
MHS132,RTT Performance Percentage,283,01/01/2026,31/03/2026,SOUTH EAST COMMISSIONING REGION
MHS125,People Entering RTT Pathway,40,01/01/2026,31/03/2026,MIDLANDS COMMISSIONING REGION
MHS126,People Waiting,203,01/01/2026,31/03/2026,MIDLANDS COMMISSIONING REGION
MHS131,People Treated,12,01/01/2026,31/03/2026,MIDLANDS COMMISSIONING REGION
MHS132,RTT Performance Percentage,154,01/01/2026,31/03/2026,MIDLANDS COMMISSIONING REGION
MHS125,People Entering RTT Pathway,32,01/01/2026,31/03/2026,EAST OF ENGLAND COMMISSIONING REGION
MHS126,People Waiting,138,01/01/2026,31/03/2026,EAST OF ENGLAND COMMISSIONING REGION
MHS131,People Treated,16,01/01/2026,31/03/2026,EAST OF ENGLAND COMMISSIONING REGION
MHS132,RTT Performance Percentage,299,01/01/2026,31/03/2026,EAST OF ENGLAND COMMISSIONING REGION
MHS125,People Entering RTT Pathway,39,01/01/2026,31/03/2026,NORTH WEST COMMISSIONING REGION
MHS126,People Waiting,175,01/01/2026,31/03/2026,NORTH WEST COMMISSIONING REGION
MHS131,People Treated,7,01/01/2026,31/03/2026,NORTH WEST COMMISSIONING REGION
MHS132,RTT Performance Percentage,116,01/01/2026,31/03/2026,NORTH WEST COMMISSIONING REGION
MHS125,People Entering RTT Pathway,32,01/01/2026,31/03/2026,NORTH EAST AND YORKSHIRE COMMISSIONING REGION
MHS126,People Waiting,144,01/01/2026,31/03/2026,NORTH EAST AND YORKSHIRE COMMISSIONING REGION
MHS131,People Treated,13,01/01/2026,31/03/2026,NORTH EAST AND YORKSHIRE COMMISSIONING REGION
MHS132,RTT Performance Percentage,237,01/01/2026,31/03/2026,NORTH EAST AND YORKSHIRE COMMISSIONING REGION
MHS125,People Entering RTT Pathway,38,01/01/2026,31/03/2026,England
MHS126,People Waiting,168,01/01/2026,31/03/2026,England
MHS131,People Treated,14,01/01/2026,31/03/2026,England
MHS132,RTT Performance Percentage,221,01/01/2026,31/03/2026,England
MHS125,People Entering RTT Pathway,53,01/01/2026,31/03/2026,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
MHS126,People Waiting,256,01/01/2026,31/03/2026,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
MHS131,People Treated,11,01/01/2026,31/03/2026,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,152,01/01/2026,31/03/2026,NHS LANCASHIRE AND SOUTH CUMBRIA INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,36,01/01/2026,31/03/2026,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
MHS126,People Waiting,156,01/01/2026,31/03/2026,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
MHS131,People Treated,5,01/01/2026,31/03/2026,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,223,01/01/2026,31/03/2026,NHS SOUTH YORKSHIRE INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,42,01/01/2026,31/03/2026,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD
MHS126,People Waiting,152,01/01/2026,31/03/2026,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD
MHS131,People Treated,36,01/01/2026,31/03/2026,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,156,01/01/2026,31/03/2026,NHS HEREFORDSHIRE AND WORCESTERSHIRE INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,42,01/01/2026,31/03/2026,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD
MHS126,People Waiting,168,01/01/2026,31/03/2026,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD
MHS131,People Treated,11,01/01/2026,31/03/2026,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,78,01/01/2026,31/03/2026,NHS MID AND SOUTH ESSEX INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,36,01/01/2026,31/03/2026,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD"
MHS126,People Waiting,158,01/01/2026,31/03/2026,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD"
MHS131,People Treated,17,01/01/2026,31/03/2026,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD"
MHS132,RTT Performance Percentage,102,01/01/2026,31/03/2026,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD"
MHS125,People Entering RTT Pathway,44,01/01/2026,31/03/2026,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
MHS126,People Waiting,203,01/01/2026,31/03/2026,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
MHS131,People Treated,3,01/01/2026,31/03/2026,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,65,01/01/2026,31/03/2026,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,27,01/01/2026,31/03/2026,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
MHS126,People Waiting,125,01/01/2026,31/03/2026,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
MHS131,People Treated,16,01/01/2026,31/03/2026,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,249,01/01/2026,31/03/2026,NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,43,01/01/2026,31/03/2026,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD
MHS126,People Waiting,239,01/01/2026,31/03/2026,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD
MHS131,People Treated,10,01/01/2026,31/03/2026,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,199,01/01/2026,31/03/2026,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,31,01/01/2026,31/03/2026,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD
MHS126,People Waiting,131,01/01/2026,31/03/2026,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD
MHS131,People Treated,26,01/01/2026,31/03/2026,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,993,01/01/2026,31/03/2026,NHS SUFFOLK AND NORTH EAST ESSEX INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,52,01/01/2026,31/03/2026,NHS DEVON INTEGRATED CARE BOARD
MHS126,People Waiting,203,01/01/2026,31/03/2026,NHS DEVON INTEGRATED CARE BOARD
MHS131,People Treated,28,01/01/2026,31/03/2026,NHS DEVON INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,219,01/01/2026,31/03/2026,NHS DEVON INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,55,01/01/2026,31/03/2026,NHS LINCOLNSHIRE INTEGRATED CARE BOARD
MHS126,People Waiting,162,01/01/2026,31/03/2026,NHS LINCOLNSHIRE INTEGRATED CARE BOARD
MHS131,People Treated,6,01/01/2026,31/03/2026,NHS LINCOLNSHIRE INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,47,01/01/2026,31/03/2026,NHS LINCOLNSHIRE INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,42,01/01/2026,31/03/2026,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD"
MHS126,People Waiting,456,01/01/2026,31/03/2026,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD"
MHS131,People Treated,2,01/01/2026,31/03/2026,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD"
MHS132,RTT Performance Percentage,169,01/01/2026,31/03/2026,"NHS LEICESTER, LEICESTERSHIRE AND RUTLAND INTEGRATED CARE BOARD"
MHS125,People Entering RTT Pathway,31,01/01/2026,31/03/2026,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
MHS126,People Waiting,175,01/01/2026,31/03/2026,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
MHS131,People Treated,21,01/01/2026,31/03/2026,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,223,01/01/2026,31/03/2026,NHS SOUTH EAST LONDON INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,46,01/01/2026,31/03/2026,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
MHS126,People Waiting,150,01/01/2026,31/03/2026,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
MHS131,People Treated,12,01/01/2026,31/03/2026,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,131,01/01/2026,31/03/2026,NHS KENT AND MEDWAY INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,28,01/01/2026,31/03/2026,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
MHS126,People Waiting,156,01/01/2026,31/03/2026,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
MHS131,People Treated,13,01/01/2026,31/03/2026,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,259,01/01/2026,31/03/2026,NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,52,01/01/2026,31/03/2026,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
MHS126,People Waiting,249,01/01/2026,31/03/2026,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
MHS131,People Treated,17,01/01/2026,31/03/2026,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,514,01/01/2026,31/03/2026,NHS NORTH EAST LONDON INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,56,01/01/2026,31/03/2026,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
MHS126,People Waiting,245,01/01/2026,31/03/2026,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
MHS131,People Treated,20,01/01/2026,31/03/2026,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
MHS132,RTT Performance Percentage,244,01/01/2026,31/03/2026,NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD
MHS125,People Entering RTT Pathway,42,01/01/2026,31/03/2026,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD
MHS126,People Waiting,131,01/01/2026,31/03/2026,NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD
