Region,Rate_2023,Rate_2024,Change,Risk_Level
North East,15.9,16.0,0.09999999999999964,High Risk
North West,16.0,14.8,-1.1999999999999993,High Risk
Yorkshire and The Humber,12.8,14.4,1.5999999999999996,High Risk
East Midlands,12.6,12.9,0.3000000000000007,Medium Risk
West Midlands,11.1,10.8,-0.29999999999999893,Medium Risk
East of England,11.7,10.1,-1.5999999999999996,Medium Risk
London,7.8,9.0,1.2000000000000002,Low Risk
South East,10.9,10.9,0.0,Medium Risk
South West,12.6,11.8,-0.7999999999999989,Medium Risk
Wales,14.4,16.2,1.799999999999999,High Risk
